id,type,housenumber,street,city,county,state,country,postcode,longitude,latitude
29976320,node,15333,67th Avenue Northeast,,,,,,-122.1400314,48.1349036
30552775,node,20702,Bothell-Everett Highway,,,,,98012,-122.2086783,47.810365
356543413,node,4132,Federal Avenue,Everett,,WA,,98203-2117,-122.21802605267182,47.96279575
356550454,node,2625,Hoyt Avenue,,,,,,-122.2096272,47.9824145
356550771,node,39123,103rd Avenue Southeast,Lake Stephens,,,,98258,-122.0916283,47.9606841
356550850,node,2531,Oakes Avenue,Everett,,WA,,98201,-122.203964,47.9834512
356551107,node,4120,Federal Avenue,Everett,,WA,,98203-2117,-122.21919961112658,47.963023
356551340,node,130,2nd Avenue North,Edmonds,,WA,,98020,-122.380132,47.812281
426156711,node,8809,Maltby Road,,,,,,-122.1143727,47.8052372
516472235,node,303,91st Avenue Northeast,Lake Stevens,,WA,,98258,-122.1069914,48.0009289
516472251,node,9302,North Davies Road,,,,,,-122.1055175,48.0043374
531800695,node,11504,26th Street Northeast,Lake Stevens,,,,98258,-122.0758841,48.0209881
710893981,node,23805,Highway 99,Edmonds,,WA,,98026,-122.3434159,47.7828773
872422913,node,10013,Shoultes Road,Marysville,,WA,,98270,-122.170462,48.0862023
922207030,node,3818,172nd Street Northeast,Arlington,,WA,,98223,-122.1773035375,48.1523088875
1025425606,node,2902,164th Street Southwest,Lynnwood,,WA,,98087,-122.2716385,47.849245
1145765856,node,22511,Highway 99,,,,,98026,-122.3338876,47.7950389
1154547678,node,9322,196th Street Southeast,Snohomish,,,,98296,-122.107983,47.8177222
1242155184,node,200,2nd Avenue South,,,,,,-81.2696191,44.6281524
1242195773,node,410,4th Avenue North,Edmonds,,,,98020,-122.375753,47.8142609
1311365241,node,2831,Wetmore Avenue,,,,,,-122.2069822,47.9794141
1328640486,node,10400,47th Place West,Mukilteo,,WA,,98275,-122.2973293,47.9043451
1374313354,node,12309,22nd Street Northeast,,,,,98358,-122.064232,48.0174595
1383987476,node,412,Center Rd,,,,,,-122.2399428,47.8900049
1387186366,node,1415,Pioneer Highway,,,,,,-122.2514874,48.2002884
1387761614,node,8813,Maltby Road,,,,,,-122.1136512,47.8053203
1405147143,node,17648,152nd ST SE,,,,,,-121.9939532,47.8604427
1422584047,node,19510,Highway 2,Monroe,,WA,,98272-1534,-121.96826,47.8583989
1422584132,node,19505,US 2,,,,,,-121.9688851,47.8599754
1433887304,node,10600,Quil Ceda Boulevard,Quil Ceda Village,,WA,,98271,-122.1885125,48.0933962
1433887716,node,10600,Quil Ceda Boulevard,Seattle Premium,,WA,,98271,-122.1886564,48.0933234
1515003762,node,2832,116th Street Northeast,Tulalip,,,,,-122.192482,48.1000127
1518327673,node,15217,Main Street,,,,,98012,-122.2201013,47.859652
1544952166,node,3000,184th Street Southwest,Lynnwood,,WA,,98037,-122.27366065456397,47.8296558
1683568064,node,11603,State Avenue,Marysville,,WA,,98271,-122.17347735,48.100390950000005
1689241358,node,417,Main Street,Edmonds,,,,98020,-122.3776484,47.8108096
1716414505,node,6003,244th Street Southwest,Mountlake Terrace,,WA,,98043,-122.313044,47.7779287
1733690710,node,22010,17th Ave SE,,,,,98021,-122.2113175,47.7978772
1733696327,node,2020,Maltby Road,Bothell,,WA,,98021,-122.20651998808371,47.809314061600496
1855894463,node,1717,Rockefeller Avenue,,,,,98201,-122.2045834,47.9943594
1934440335,node,2000,Tower Street,,,,,98201,-122.2003276,48.0052543
1934653186,node,851,North Broadway,Everett,,WA,,98201,-122.1966009,48.0059271
1935554551,node,851,North Broadway,Everett,,WA,,98201,-122.1966009,48.0059271
1956930339,node,2909,Bickford Avenue,Snohomish,,WA,,98290,-122.1079505,47.9448168
1956943929,node,2623,Bickford Avenue,Snohomish,,WA,,98290,-122.108347,47.9427434
1963639180,node,13725,Lost Lake Road,,,,,,-122.046301,47.7985145
1966175614,node,12728,19th Avenue Southeast,Everett,,,,98208,-122.2063004,47.9068196
2076280397,node,2600,Mukilteo Speedway,,,,,98275,-122.3020659,47.9332319
2086823622,node,24118,Bothell-Everett Highway,,,,,98011,-122.2188082,47.7785172
2102155075,node,19500,Highway 99,,,,,,-122.3165846,47.8219006
2102155082,node,19500,Highway 99,Lynnwood,,WA,,98036,-122.3164559,47.8223945
2102155092,node,17531,Highway 99,Lynnwood,,WA,,98037,-122.2982668,47.8395478
2102155108,node,17633,Highway 99,Seattle,,WA,,98037,-122.299122,47.8385761
2111673203,node,2531,Broadway,,,,,,-122.2011958,47.9836705
2128423799,node,21225,Bothell-Everett Hwy,Bothell,,WA,,98021,-122.207015,47.8052319
2137824762,node,111,228th Street Southeast,Bothell,,WA,,98021,-122.2179064,47.7918827
2139459935,node,11701,25th ave se,,,,,,-122.197894,47.891919151515154
2139480343,node,1715,228th Street Southeast,Bothell,,WA,,98021,-122.2115046,47.7917496
2150072249,node,2316,Cedar St,Everett,,WA,,98201,-122.193938,47.986423
2174319374,node,2707,171st Place Northeast,Marysville,,WA,,98271,-122.192233,48.1516385
